id,title,username,time,views,views_detail,supported,description,full_complaint,rating,company_response,url,comments_count,comments
28325243,,,29 Mart 2024 09:31,,,0,,,,,,0,[]
28308746,Setur Meydan AVM Acente,,27 Mart 2024 17:48,,422,0,,Ben h sonu Setur Meydan AVM yetkili acentasına gittim Antalya tatili için fiyat aldım ve salı günü ödeme için gittim gittiğimde 6 bin tl daha üstüne fark istediler. Hatta bir arkadaşım da ailesi ile gelecekti onları da aynı tarihe alırız diye götürdüm.İki aile için dahi vermiş olduğu sözleri tutmadılar.Bir daha asla kapısından geçmem.,,,https://www.sikayetvar.com/setur-turizm/setur-meydan-avm-acente,0,[]
28291895,,,26 Mart 2024 10:41,,,0,,,,,,0,[]
28255503,Setur Müşteri Memnuniyetini Asla Önemsemiyor.,,22 Mart 2024 13:32,,3.969,0,,"Setur'dan Adana'dan Kıbrıs için 4-7 Nisan tarihlerinde otel, uçak ve transfer içeren bir paket satın aldım. İki kişilik bu paket için gidişte sabah, dönüşte akşam uçuşlarını talep etmiştim. Ancak fiyatın 4-5 bin TL civarında artacağı söylendi. Bunun gerekli olmadığını düşünerek, gidiş için saat 15.00, dönüş için ise 17.10 uçağını tercih ettik ve 24 bin TL ödedik. Sekiz-dokuz gün sonra fiyatları kontrol ettiğimde, istediğimiz uçuş saatleriyle aynı planın 23.200 TL'ye düştüğünü gördüm. Uçak saatlerinin değiştirilmesini talep ettik ve fiyat farkının iadesini istemediğimizi belirttik. Ancak olumsuz yanıt aldık ve bu durumun biletleri kestikleri firmanın farklı olmasından kaynaklandığı söylendi. Şu anda Anadolu Jet'in Ajet olması nedeniyle seyahat planları değişmiş ve bizim 17.10 dönüş uçağımız 5 saat öne çekilerek 12.00'ye alınmış. Üç gece dört günlük bir seyahat için zaten uğraşırken, bu değişikliği kabul etmedik. Setur'u defalarca aradım ve K*** Bey, F***** Bey, A****** Hanım gibi birçok kişiyle görüştüm. Hepsi durumu inceleyeceklerini söylediler. K*** Bey, durumu yetkililere iletti ancak yaklaşık 12-13 saattir herhangi bir olumlu gelişme yaşanmadı. Anadolu Jet, ücretsiz iptal ve kesintisiz iade imkanı sunarken, Setur yetkilileri bana kişi başı 3.200 TL civarında bir kesinti yaparak iade işlemi yapacaklarını söylediler. Havayolu firmasının herhangi bir kesinti yapmadığı bir durumda Setur'un hangi gerekçeyle böyle bir kesinti yaptığını anlamıyorum. Rica ediyorum, Anadolu Jet'ten olan bilet işlemlerimi kesintisiz iptal edip, istediğim saatlere uygun biletleri ek bir ücret talep etmeden benim ve diğer yolcu adına alırsanız memnun olurum. Bu konunun bu kadar uzaması gereksizken, lütfen daha fazla sorun yaratmayın. Zira bu durum insanları Setur firmasından soğutuyor. En kısa sürede dönüş yapmanızı bekliyorum. İyi günler.
Voucher No: 938571",,"Öncelikli şirketin operasyon, biletleme vs süreçleri ile bu süreçlere bakan yetkilileri çözüm konusunda hiç yardımcı olmadılar desem yeridir. Anadolu Jet uçuşu 1 defaya mahsus kesintisiz-ücretsiz iptal iadesi yaparken Setur benden 2 kişi için 6bin tl ücret keseceğini söyledi. İyi ki Kaan Bey ile diyaloğu sağlıklı bir şekilde yürüttü de konu sorunsuz çözüldü. Kaan Beye teşekkür ederim. Sonrasında da yeni biletleme işlemimi Kaan Beyin iyi niyetinden dolayı yine Seturdan yaptım. Bu işlemde de nezaket gösterip yardımcı olan Berna Hanıma da çok teşekkür ediyorum.",https://www.sikayetvar.com/setur-turizm/setur-musteri-memnuniyetini-asla-onemsemiyor,0,[]
28253599,,,22 Mart 2024 10:55,,,0,,,,,,0,[]
28217612,Setur Turizm Phuket Bangkok Turu Hayal Kırıklığı,,19 Mart 2024 01:38,,509,0,,"02 Mart çıkışlı Phuket Bangkok turuna katıldık. Başımıza gelenler inanılmazdı. Saatlerce süren yolculuğumuz, 5 saatlik Bangkok havaalanında aktarma beklemekle geçti. Otele varıp anahtarımızı aldığımızda, çok güzel bir 3 yatak odası ve 1 oturma odası olan villamıza girdik. Otel fiyatlarının ucuz olması ve şehir merkezine uzaklığı nedeniyle, odanın güzelliği şaşırtmadı. Ancak odanın durumunu kontrol ederken başka bir çiftin daha geldiğini gördük. Kısa bir süre sonra bir çift daha geldi ve anladık ki biz dahil, aynı turla gelen 3 çift, aynı villaya yerleştirilmişiz. Otelin birlikte kalmamızı istediğini fark ettik. Hemen Setur 'u arayarak, tanımadığım insanlarla aynı odada kalmayacağımı ve bir çözüm bulmalarını talep ettim. Yetkililerle görüşüp beni arayacaklarını söylediler. Ancak beklenen geri dönüş olmadı. Rehber, Setur 'un kendi rehberi olmadığını, bağımsız çalıştığını ve bir müdürü olduğunu söyledi. Yoğun görüşmeler ve 3 saat bekleyişin ardından otel, sonunda tek oda vermeyi kabul etti. Ancak Koç Holding ve Setur 'a olan güvenimizle satın aldığımız turdan, 'biz durumla ilgileniyoruz, özür dileriz' deme zahmetinde bile bulunmadılar. Belki artık telafisi yok ama orada ilgilenilmediğimizi ve yorgun bir yolculuğun ardından yardım yerine sessizliğe büründüklerini görmek çok üzücüydü. Birçok şirket aynı fiyata bu turu sunuyor. Seçtiğiniz tur şirketi güveneceğiniz tur şirketi olmalı, ancak Setur tam bir hayal kırıklığıydı.",,,https://www.sikayetvar.com/setur-turizm/setur-turizm-phuket-bangkok-turu-hayal-kirikligi,0,[]
28212359,,,18 Mart 2024 16:06,,,0,,,,,,0,[]
28111457,,,08 Mart 2024 12:58,,,0,,,,,,0,[]
28089714,,,06 Mart 2024 13:12,,,0,,,,,,0,[]
28083372,,,05 Mart 2024 20:07,,,0,,,,,,0,[]
